data_instance,max_path,max_edge,time
IEEE118_P_1.0_74,23,7,31.798
IEEE118_P_1.0_75,23,3,39.532
IEEE118_P_1.0_75,23,5,34.003
IEEE118_P_1.0_75,23,7,34.417
IEEE118_P_1.0_76,23,3,32.492
IEEE118_P_1.0_76,23,5,26.698
IEEE118_P_1.0_76,23,7,26.729
IEEE118_P_1.0_77,23,3,36.759
IEEE118_P_1.0_77,23,5,28.812
IEEE118_P_1.0_77,23,7,28.449
IEEE118_P_1.0_78,23,3,33.301
IEEE118_P_1.0_78,23,5,30.455
IEEE118_P_1.0_78,23,7,30.625
IEEE118_P_1.0_79,23,3,36.25
IEEE118_P_1.0_79,23,5,30.627
IEEE118_P_1.0_79,23,7,30.957
IEEE118_P_1.0_80,23,3,41.246
IEEE118_P_1.0_80,23,5,35.977
IEEE118_P_1.0_80,23,7,37.025
IEEE118_P_1.0_81,23,3,35.319
IEEE118_P_1.0_81,23,5,29.518
IEEE118_P_1.0_81,23,7,29.903
IEEE118_P_1.0_82,23,3,33.589
IEEE118_P_1.0_82,23,5,30.036
IEEE118_P_1.0_82,23,7,30.418
IEEE118_P_1.0_83,23,3,52.087
IEEE118_P_1.0_83,23,5,39.262
IEEE118_P_1.0_83,23,7,40.223
IEEE118_P_1.0_84,23,3,42.15
IEEE118_P_1.0_84,23,5,36.93
IEEE118_P_1.0_84,23,7,37.798
IEEE118_P_1.0_85,23,3,32.692
IEEE118_P_1.0_85,23,5,29.875
IEEE118_P_1.0_85,23,7,29.808
IEEE118_P_1.0_86,23,3,35.228
IEEE118_P_1.0_86,23,5,32.101
IEEE118_P_1.0_86,23,7,31.738
IEEE118_P_1.0_87,23,3,41.442
IEEE118_P_1.0_87,23,5,37.136
IEEE118_P_1.0_87,23,7,38.047
IEEE118_P_1.0_88,23,3,37.064
IEEE118_P_1.0_88,23,5,29.724
IEEE118_P_1.0_88,23,7,29.032
IEEE118_P_1.0_89,23,3,33.566
IEEE118_P_1.0_89,23,5,27.779
IEEE118_P_1.0_89,23,7,27.02
IEEE118_P_1.0_90,23,3,33.246
IEEE118_P_1.0_90,23,5,31.167
IEEE118_P_1.0_90,23,7,31.864
IEEE118_P_1.0_91,23,3,31.479
IEEE118_P_1.0_91,23,5,26.393
IEEE118_P_1.0_91,23,7,26.818
IEEE118_P_1.0_92,23,3,31.358
IEEE118_P_1.0_92,23,5,28.364
IEEE118_P_1.0_92,23,7,29.434
IEEE118_P_1.0_93,23,3,41.692
IEEE118_P_1.0_93,23,5,37.147
IEEE118_P_1.0_93,23,7,38.18
IEEE118_P_1.0_94,23,3,36.636
IEEE118_P_1.0_94,23,5,29.556
IEEE118_P_1.0_94,23,7,29.477
IEEE118_P_1.0_95,23,3,34.813
IEEE118_P_1.0_95,23,5,28.458
IEEE118_P_1.0_95,23,7,28.213
IEEE118_P_1.0_96,23,3,34.05
IEEE118_P_1.0_96,23,5,28.686
IEEE118_P_1.0_96,23,7,28.287
IEEE118_P_1.0_97,23,3,35.892
IEEE118_P_1.0_97,23,5,32.827
IEEE118_P_1.0_97,23,7,33.316
IEEE118_P_1.0_98,23,3,39.373
IEEE118_P_1.0_98,23,5,36.122
IEEE118_P_1.0_98,23,7,37.101
IEEE118_P_1.0_99,23,3,33.771
IEEE118_P_1.0_99,23,5,31.012
IEEE118_P_1.0_99,23,7,31.967
IEEE118_P_1.0_100,23,3,32.454
IEEE118_P_1.0_100,23,5,31.261
IEEE118_P_1.0_100,23,7,31.943
IEEE118_P_1.05_21,23,3,50.143
IEEE118_P_1.05_21,23,5,45.279
IEEE118_P_1.05_21,23,7,44.3
IEEE118_P_1.05_22,23,3,40.829
IEEE118_P_1.05_22,23,5,37.583
IEEE118_P_1.05_22,23,7,38.543
IEEE118_P_1.05_23,23,3,42.886
IEEE118_P_1.05_23,23,5,39.514
IEEE118_P_1.05_23,23,7,40.392
IEEE118_P_1.05_24,23,3,42.07
IEEE118_P_1.05_24,23,5,39.148
IEEE118_P_1.05_24,23,7,38.732
IEEE118_P_1.05_25,23,3,87.379
IEEE118_P_1.05_25,23,5,83.321
IEEE118_P_1.05_25,23,7,82.723
IEEE118_P_1.05_26,23,3,43.207
IEEE118_P_1.05_26,23,5,39.632
IEEE118_P_1.05_26,23,7,40.344
IEEE118_P_1.05_27,23,3,47.332
IEEE118_P_1.05_27,23,5,43.3
IEEE118_P_1.05_27,23,7,42.514
IEEE118_P_1.05_28,23,3,85.084
IEEE118_P_1.05_28,23,5,82.25
IEEE118_P_1.05_28,23,7,81.721
IEEE118_P_1.05_29,23,3,37.573
IEEE118_P_1.05_29,23,5,34.189
IEEE118_P_1.05_29,23,7,35.057
IEEE118_P_1.05_30,23,3,40.003
IEEE118_P_1.05_30,23,5,35.552
IEEE118_P_1.05_30,23,7,36.28
IEEE118_P_1.05_31,23,3,49.407
IEEE118_P_1.05_31,23,5,43.461
IEEE118_P_1.05_31,23,7,43.714
IEEE118_P_1.05_32,23,3,41.066
IEEE118_P_1.05_32,23,5,37.853
IEEE118_P_1.05_32,23,7,38.866
IEEE118_P_1.05_33,23,3,48.04
IEEE118_P_1.05_33,23,5,43.696
IEEE118_P_1.05_33,23,7,43.642
IEEE118_P_1.05_34,23,3,91.845
IEEE118_P_1.05_34,23,5,87.164
IEEE118_P_1.05_34,23,7,87.605
IEEE118_P_1.05_35,23,3,83.926
IEEE118_P_1.05_35,23,5,82.542
IEEE118_P_1.05_35,23,7,81.987
IEEE118_P_1.05_36,23,3,89.001
IEEE118_P_1.05_36,23,5,86.571
IEEE118_P_1.05_36,23,7,86.872
IEEE118_P_1.05_37,23,3,89.642
IEEE118_P_1.05_37,23,5,87.026
IEEE118_P_1.05_37,23,7,86.368
IEEE118_P_1.05_38,23,3,39.303
IEEE118_P_1.05_38,23,5,36.173
IEEE118_P_1.05_38,23,7,36.912
IEEE118_P_1.05_39,23,3,44.922
IEEE118_P_1.05_39,23,5,41.854
IEEE118_P_1.05_39,23,7,42.927
IEEE118_P_1.05_40,23,3,46.323
IEEE118_P_1.05_40,23,5,42.967
IEEE118_P_1.05_40,23,7,42.609
IEEE118_P_1.05_41,23,3,90.48
IEEE118_P_1.05_41,23,5,86.323
IEEE118_P_1.05_41,23,7,86.904
IEEE118_P_1.05_42,23,3,84.076
IEEE118_P_1.05_42,23,5,82.725
IEEE118_P_1.05_42,23,7,82.935
IEEE118_P_1.05_43,23,3,39.821
IEEE118_P_1.05_43,23,5,36.873
IEEE118_P_1.05_43,23,7,37.833
IEEE118_P_1.05_44,23,3,52.196
IEEE118_P_1.05_44,23,5,46.864
IEEE118_P_1.05_44,23,7,47.041
IEEE118_P_1.05_45,23,3,54.125
IEEE118_P_1.05_45,23,5,48.385
IEEE118_P_1.05_45,23,7,48.735
IEEE118_P_1.05_46,23,3,38.778
IEEE118_P_1.05_46,23,5,35.668
IEEE118_P_1.05_46,23,7,36.504
IEEE118_P_1.05_47,23,3,51.75
IEEE118_P_1.05_47,23,5,46.125
IEEE118_P_1.05_47,23,7,44.167
IEEE118_P_1.05_48,23,3,42.986
IEEE118_P_1.05_48,23,5,39.734
IEEE118_P_1.05_48,23,7,40.448
IEEE118_P_1.05_49,23,3,47.116
IEEE118_P_1.05_49,23,5,41.945
IEEE118_P_1.05_49,23,7,41.686
IEEE118_P_1.05_50,23,3,48.221
IEEE118_P_1.05_50,23,5,43.494
IEEE118_P_1.05_50,23,7,43.135
IEEE118_P_1.05_51,23,3,46.678
IEEE118_P_1.05_51,23,5,42.903
IEEE118_P_1.05_51,23,7,43.155
IEEE118_P_1.05_52,23,3,86.676
IEEE118_P_1.05_52,23,5,86.025
IEEE118_P_1.05_52,23,7,84.091
IEEE118_P_1.05_53,23,3,40.988
IEEE118_P_1.05_53,23,5,37.733
IEEE118_P_1.05_53,23,7,38.639
IEEE118_P_1.05_54,23,3,93.899
IEEE118_P_1.05_54,23,5,89.196
IEEE118_P_1.05_54,23,7,89.682
IEEE118_P_1.05_55,23,3,92.576
IEEE118_P_1.05_55,23,5,88.635
IEEE118_P_1.05_55,23,7,89.1
IEEE118_P_1.05_56,23,3,50.785
IEEE118_P_1.05_56,23,5,43.539
IEEE118_P_1.05_56,23,7,42.79
IEEE118_P_1.05_57,23,3,90.135
IEEE118_P_1.05_57,23,5,85.678
IEEE118_P_1.05_57,23,7,86.141
IEEE118_P_1.05_58,23,3,39.437
IEEE118_P_1.05_58,23,5,36.22
IEEE118_P_1.05_58,23,7,37.027
IEEE118_P_1.05_59,23,3,90.046
IEEE118_P_1.05_59,23,5,84.953
IEEE118_P_1.05_59,23,7,85.322
IEEE118_P_1.05_60,23,3,47.152
IEEE118_P_1.05_60,23,5,43.314
IEEE118_P_1.05_60,23,7,43.072
IEEE118_P_1.05_61,23,3,51.377
IEEE118_P_1.05_61,23,5,43.456
IEEE118_P_1.05_61,23,7,43.218
IEEE118_P_1.05_62,23,3,41.698
IEEE118_P_1.05_62,23,5,38.739
IEEE118_P_1.05_62,23,7,38.37
IEEE118_P_1.05_63,23,3,85.45
IEEE118_P_1.05_63,23,5,81.534
IEEE118_P_1.05_63,23,7,80.851
IEEE118_P_1.05_64,23,3,39.155
IEEE118_P_1.05_64,23,5,35.902
IEEE118_P_1.05_64,23,7,36.813
IEEE118_P_1.05_65,23,3,39.461
IEEE118_P_1.05_65,23,5,36.167
IEEE118_P_1.05_65,23,7,36.842
IEEE118_P_1.05_66,23,3,38.944
IEEE118_P_1.05_66,23,5,35.241
IEEE118_P_1.05_66,23,7,35.911
IEEE118_P_1.05_67,23,3,88.81
IEEE118_P_1.05_67,23,5,84.698
IEEE118_P_1.05_67,23,7,85.208
IEEE118_P_1.05_68,23,3,43.808
IEEE118_P_1.05_68,23,5,39.574
IEEE118_P_1.05_68,23,7,40.396
IEEE118_P_1.05_69,23,3,87.56
IEEE118_P_1.05_69,23,5,83.856
IEEE118_P_1.05_69,23,7,83.655
IEEE118_P_1.05_70,23,3,48.475
IEEE118_P_1.05_70,23,5,42.76
IEEE118_P_1.05_70,23,7,42.443
IEEE118_P_1.05_71,23,3,46.732
IEEE118_P_1.05_71,23,5,42.549
IEEE118_P_1.05_71,23,7,42.281
